descriptions,urls
3+ Bedroom homes in Carroll Gardens,https://streeteasy.com/for-sale/nyc/price:-4000000|area:321|beds%3E=3
3+ Bedroom homes in favorite BK neighborhoods in lower price range,"https://streeteasy.com/for-sale/nyc/price:800000-1500000|area:306,305,321,364,322,328,343,303,304,320,301,367,319,326,355,318,323,324,302|beds%3E=3"
3+ Bedroom homes in favorite BK neighborhoods with duplex,"https://streeteasy.com/for-sale/nyc/price:-4000000|area:306,305,321,364,322,328,343,303,304,320,301,367,319,326,355,318,323,324,302|beds%3E=3|description:duplex"
3+ Bedroom homes in favorite BK neighborhoods with triplex,"https://streeteasy.com/for-sale/nyc/price:-4000000|area:306,305,321,364,322,328,343,303,304,320,301,367,319,326,355,318,323,324,302|beds%3E=3|description:triplex"
3+ Bedroom homes in Ditmas Park,https://streeteasy.com/for-sale/nyc/area:343|beds%3E=3
Apartments in Museum Court,https://streeteasy.com/for-sale/nyc/description:%22Museum%20Court%22
Apartments in Turner Towers,https://streeteasy.com/for-sale/nyc/description:%22Turner%20Towers%22
Apartments in The Abraham Lincoln,https://streeteasy.com/for-sale/nyc/description:%22Abraham%20Lincoln%22
Apartments in Ansonia Court (watch factory),https://streeteasy.com/for-sale/nyc/description:Ansonia
Apartments in The Traymore,https://streeteasy.com/for-sale/nyc/description:%22The%20Traymore%22
